GroupName,CategoryName,MasterName,PhoneNumber
Food Panda,Food,FPANDA,
Paytm,Wallet,"IPAYTM,VPAYTM,KPAYTM",919643979797
Airtel,Carrier,"ARWINF, ARWSVC, 52141, 121, 650001, AIRSEP, Erecharge, AIRMTA",121
Jio,Carrier,"JIOINF, JIOROAM, JIONET",18008899999
Oxigen,Wallet,"OXIGEN, OXIAPP",911246655222
Dominos,Food,DOMINO,911168886888
Goibibo,Travel,GOIBIB,9192130 25552
Ola,Cab,"OLACAB, OLACBS",912233553355
Meru Cabs,Cab,MERUPR,911144224422
Flipkart,Ecommerce,FLPKRT,18002089898
Amazon,Ecommerce,AMAZON,180030009009
Lenskart,Ecommerce,"LNSKRT, LNKART",919999899998
BookMyShow,Entertainment,"BMSHOW, BMSOTP",912261445050
Uber,Cab,UBERIN,
redBus,Travel,REDBUS,186030010101
MakeMyTrip,Travel,MMTAPP,18001028747
HDFC Bank,Banking,"HDFCBK, HDFCMP",911161606161
Swiggy,Food,SWIGGY,08060006600
Vodafone,Carrier,"VFCARE, 144, 140, 611112",919811098110
Zomato,Food,ZOMATO,918375073452
Axis Bank,Banking,AXISBK,18002095577
Airtel Alerts*,Carrier,"121, AIREXP, AIR-ACT",121
Freecharge,Wallet,FCHRGE,912240363031
Google,Online Service,"51501, Google",
Ekart Logistics,Shipping,EKARTL,18004201111
Central Bank,Banking,CENTBK,18002001911
Kotak Bank,Banking,KOTAKB,18602662666
Delhivery Logistics,Shipping,DLHVRY,911246719500
Blue Dart Logistics,Shipping,BLUDRT,18602331234
Mobikwik,Wallet,MOBIKW,919466446644
Pizza Hut,Food,PZAHUT,911139883988
Policy Bazaar,Online Service,POLBAZ,18002088787
UrbanClap,Online Service,UBCLAP,18004190020
EaseMyTrip,Travel,EASEMY,911143030303
Tata Sky,DTH,MyTsky,18002086633
IndiGo Airlines,Flights,IndiGO,919212783838
HealthKart,Ecommerce,HLTKRT,911244616444
Myntra,Ecommerce,MYNTRA,918043541999
Wynk Music,Application,WYNKED,
Jet Airways,Flights,JetAir,1800225522
Idea,Carrier,"IDEA, Ideacare, 612345, 51985, 54300, IDEAinfo",
SBI,Banking,"ATMSBI, SBIINB, SBICRD, SBIACS, CBSSBI, SBIPSG, SBIRDH",
ICICI Bank,Banking,ICICIB,
Docomo,Carrier,DOCOMO,
Aircel,Carrier,"AIRCEL, Etopup",
BSNL,Carrier,"BSNLmobi, BSNLIN, BSNLCare, BSNLDC, DataBSNL",
Reliance Communications,Carrier,"3600, 52811",
Indane,Utility,INDANE,
Bank of Baroda,Banking,BOBTXN,
Provident Fund,Finance,EPFOHO,
Edelweiss,Finance,EDELWS,18001023335
Apple,Online Service,APPLEI,
Airtel Broadband,Carrier,AIRNET,
Cox & Kings,Travel,CNKIND,
Grofers,Ecommerce,GROFRS,
PNB,Banking,PNBSMS,
Just Dial,Online Service,Justdl,
Snapdeal,Ecommerce,Snaldl,
BPCL LPG,Utility,BPCLPG,
Yes Bank,Banking,YESBNK,
Citibank,Banking,CITIBK,
Canara Bank,Banking,CANBNK,
Whatsapp ,Application,WHSAPP,
Bank of India,Banking,BOIIND,
Bank of Maharashtra,Banking,MAHABK,
Oriental Bank of Commerce,Banking,OBCBNK,
LIC,Finance,LICIND,
Andhra Bank,Banking,ANDBNK,
Prime Minister of India,Government,PMModi,
Telenor,Carrier,TELNOR,
UCO Bank,Banking,UCOBNK,
Indian Overseas Bank,Banking,IOBCHN,
Union Bank of India,Banking,UNIONB,
ShopClues,Ecommerce,SHOPCL,
IndusInd Bank,Banking,INDUSB,
Tata Sky,DTH,MyTsky,
HSBC Bank,Banking,HSBCIN,
IRCTC,Travel,IRCTCi,
Income Tax Dept,Government,ITDEPT,
Bajaj Finance,Finance,BajajF,
Videocon DTH,DTH,VIDDTH,
Karur Vysya Bank,Banking,KVBANK,
Syndicate Bank,Banking,SYNBNK,
HP Gas,Utility,HPGASd,
IndiaMART,Ecommerce,INDMRT,
Corporation Bank,Banking,CORPBK,
Vijaya Bank,Banking,VIJBNK,
